mode,sweep,position,slot,engine,pair,variant,cost_ms_per_s,spread_percent
null,6,3,V2d,V2,voice-dsp,clause-5,0.586102,0.0045
null,6,3,V2d,V2,whole-render,as-built,0.595377,0.0477
null,7,0,V2b,V2,voice-dsp,as-built,0.582775,0.0092
null,7,0,V2b,V2,voice-dsp,clause-5,0.586342,0.1226
null,7,0,V2b,V2,whole-render,as-built,0.594445,0.0568
null,7,1,V2a,V2,voice-dsp,as-built,0.582696,0.0705
null,7,1,V2a,V2,voice-dsp,clause-5,0.585878,0.0090
null,7,1,V2a,V2,whole-render,as-built,0.593887,0.0021
null,7,2,V2d,V2,voice-dsp,as-built,0.582883,0.0333
null,7,2,V2d,V2,voice-dsp,clause-5,0.585788,0.0571
null,7,2,V2d,V2,whole-render,as-built,0.594569,0.0721
null,7,3,V2c,V2,voice-dsp,as-built,0.582477,0.0891
null,7,3,V2c,V2,voice-dsp,clause-5,0.585885,0.0977
null,7,3,V2c,V2,whole-render,as-built,0.595014,0.0758
null,8,0,V2b,V2,voice-dsp,as-built,0.582481,0.0461
null,8,0,V2b,V2,voice-dsp,clause-5,0.586028,0.3222
null,8,0,V2b,V2,whole-render,as-built,0.536112,10.9611
null,8,1,V2c,V2,voice-dsp,as-built,0.521656,0.2251
null,8,1,V2c,V2,voice-dsp,clause-5,0.524712,0.1521
null,8,1,V2c,V2,whole-render,as-built,0.536970,0.7468
null,8,2,V2a,V2,voice-dsp,as-built,0.524854,0.9471
null,8,2,V2a,V2,voice-dsp,clause-5,0.526587,0.0896
null,8,2,V2a,V2,whole-render,as-built,0.545113,0.0458
null,8,3,V2d,V2,voice-dsp,as-built,0.522951,1.6411
null,8,3,V2d,V2,voice-dsp,clause-5,0.525352,1.5743
null,8,3,V2d,V2,whole-render,as-built,0.540472,0.9637
null,9,0,V2b,V2,voice-dsp,as-built,0.527301,1.0985
null,9,0,V2b,V2,voice-dsp,clause-5,0.529346,1.2680
null,9,0,V2b,V2,whole-render,as-built,0.533410,0.9242
null,9,1,V2c,V2,voice-dsp,as-built,0.523426,1.3080
null,9,1,V2c,V2,voice-dsp,clause-5,0.530129,0.0769
null,9,1,V2c,V2,whole-render,as-built,0.543352,0.2656
null,9,2,V2d,V2,voice-dsp,as-built,0.530729,0.1731
null,9,2,V2d,V2,voice-dsp,clause-5,0.534354,0.4002
null,9,2,V2d,V2,whole-render,as-built,0.539643,1.4236
null,9,3,V2a,V2,voice-dsp,as-built,0.527218,0.3087
null,9,3,V2a,V2,voice-dsp,clause-5,0.532206,0.0566
null,9,3,V2a,V2,whole-render,as-built,0.540036,0.3889
null,10,0,V2b,V2,voice-dsp,as-built,0.526577,1.3040
null,10,0,V2b,V2,voice-dsp,clause-5,0.526310,1.7898
null,10,0,V2b,V2,whole-render,as-built,0.540064,1.0477
null,10,1,V2d,V2,voice-dsp,as-built,0.529071,0.5036
null,10,1,V2d,V2,voice-dsp,clause-5,0.532607,0.6580
null,10,1,V2d,V2,whole-render,as-built,0.597135,0.0603
null,10,2,V2a,V2,voice-dsp,as-built,0.582472,0.1071
null,10,2,V2a,V2,voice-dsp,clause-5,0.586120,0.0352
null,10,2,V2a,V2,whole-render,as-built,0.595293,0.1343
null,10,3,V2c,V2,voice-dsp,as-built,0.582297,0.0158
null,10,3,V2c,V2,voice-dsp,clause-5,0.585727,0.0945
null,10,3,V2c,V2,whole-render,as-built,0.594435,0.0183
null,11,0,V2b,V2,voice-dsp,as-built,0.582526,0.0227
null,11,0,V2b,V2,voice-dsp,clause-5,0.585706,0.1550
null,11,0,V2b,V2,whole-render,as-built,0.595398,0.0302
null,11,1,V2d,V2,voice-dsp,as-built,0.582609,0.0056
null,11,1,V2d,V2,voice-dsp,clause-5,0.585965,0.0041
null,11,1,V2d,V2,whole-render,as-built,0.594162,0.4600
null,11,2,V2c,V2,voice-dsp,as-built,0.582865,0.0286
null,11,2,V2c,V2,voice-dsp,clause-5,0.586211,0.0484
null,11,2,V2c,V2,whole-render,as-built,0.595419,0.0623
null,11,3,V2a,V2,voice-dsp,as-built,0.582658,0.1664
null,11,3,V2a,V2,voice-dsp,clause-5,0.585819,0.1265
null,11,3,V2a,V2,whole-render,as-built,0.595520,0.0269
null,12,0,V2c,V2,voice-dsp,as-built,0.583027,0.0048
null,12,0,V2c,V2,voice-dsp,clause-5,0.585709,0.0429
null,12,0,V2c,V2,whole-render,as-built,0.594329,0.0075
null,12,1,V2a,V2,voice-dsp,as-built,0.583121,0.0167
null,12,1,V2a,V2,voice-dsp,clause-5,0.525306,11.7390
null,12,1,V2a,V2,whole-render,as-built,0.533950,0.5214
null,12,2,V2b,V2,voice-dsp,as-built,0.521737,0.1779
null,12,2,V2b,V2,voice-dsp,clause-5,0.525268,1.8250
null,12,2,V2b,V2,whole-render,as-built,0.533377,0.9673
null,12,3,V2d,V2,voice-dsp,as-built,0.526134,0.2276
null,12,3,V2d,V2,voice-dsp,clause-5,0.531768,0.0088
null,12,3,V2d,V2,whole-render,as-built,0.539315,0.3597
null,13,0,V2c,V2,voice-dsp,as-built,0.522044,0.4997
null,13,0,V2c,V2,voice-dsp,clause-5,0.526056,2.1767
null,13,0,V2c,V2,whole-render,as-built,0.543379,0.3052
null,13,1,V2a,V2,voice-dsp,as-built,0.526269,1.0318
null,13,1,V2a,V2,voice-dsp,clause-5,0.526554,1.5032
null,13,1,V2a,V2,whole-render,as-built,0.538361,0.0572
null,13,2,V2d,V2,voice-dsp,as-built,0.525828,1.0567
null,13,2,V2d,V2,voice-dsp,clause-5,0.535793,0.2973
null,13,2,V2d,V2,whole-render,as-built,0.538468,0.8377
null,13,3,V2b,V2,voice-dsp,as-built,0.528460,0.2428
null,13,3,V2b,V2,voice-dsp,clause-5,0.533599,0.4832
null,13,3,V2b,V2,whole-render,as-built,0.537631,0.7006
null,14,0,V2c,V2,voice-dsp,as-built,0.526291,0.8952
null,14,0,V2c,V2,voice-dsp,clause-5,0.528514,1.4033
null,14,0,V2c,V2,whole-render,as-built,0.534292,0.2809
null,14,1,V2b,V2,voice-dsp,as-built,0.522764,0.9431
null,14,1,V2b,V2,voice-dsp,clause-5,0.531389,0.9656
null,14,1,V2b,V2,whole-render,as-built,0.546601,0.0442
null,14,2,V2a,V2,voice-dsp,as-built,0.531059,0.3371
null,14,2,V2a,V2,voice-dsp,clause-5,0.585817,0.0881
null,14,2,V2a,V2,whole-render,as-built,0.595021,0.0607
null,14,3,V2d,V2,voice-dsp,as-built,0.582833,0.0217
null,14,3,V2d,V2,voice-dsp,clause-5,0.585930,0.0003
null,14,3,V2d,V2,whole-render,as-built,0.594048,0.0034
null,15,0,V2c,V2,voice-dsp,as-built,0.582324,0.1049
null,15,0,V2c,V2,voice-dsp,clause-5,0.586219,0.1259
null,15,0,V2c,V2,whole-render,as-built,0.594158,0.0261
null,15,1,V2b,V2,voice-dsp,as-built,0.582783,0.0138
null,15,1,V2b,V2,voice-dsp,clause-5,0.585798,0.1679
null,15,1,V2b,V2,whole-render,as-built,0.594645,0.2250
null,15,2,V2d,V2,voice-dsp,as-built,0.582225,0.0598
null,15,2,V2d,V2,voice-dsp,clause-5,0.586323,0.0162
null,15,2,V2d,V2,whole-render,as-built,0.594508,0.0181
null,15,3,V2a,V2,voice-dsp,as-built,0.582817,0.1802
null,15,3,V2a,V2,voice-dsp,clause-5,0.586214,0.0809
null,15,3,V2a,V2,whole-render,as-built,0.593710,0.2091
null,16,0,V2c,V2,voice-dsp,as-built,0.582500,0.0760
