sweep,position,arm,shape,variant,cost_ms_per_s,control_ms_per_s,in_process_spread_percent
2,4,64,gain-chain,as-built,0.578168,0.578108,0.231
2,4,64,gain-chain,clause-5,0.580831,0.581392,0.138
3,0,128,voice-mono,as-built,0.549723,0.549971,0.143
3,0,128,voice-mono,clause-5,0.494877,0.503885,0.351
3,0,128,voice-stereo,as-built,0.555082,0.550500,0.499
3,0,128,voice-stereo,clause-5,0.604324,0.604696,0.101
3,0,128,gain-chain,as-built,0.469141,0.469122,0.365
3,0,128,gain-chain,clause-5,0.472347,0.472388,0.324
3,1,256,voice-mono,as-built,0.483642,0.484432,0.306
3,1,256,voice-mono,clause-5,0.497035,0.494172,0.739
3,1,256,voice-stereo,as-built,0.544959,0.537247,0.123
3,1,256,voice-stereo,clause-5,0.537398,0.536283,0.156
3,1,256,gain-chain,as-built,0.427222,0.421642,1.066
3,1,256,gain-chain,clause-5,0.428601,0.426891,0.595
3,2,32,voice-mono,as-built,0.598875,0.599217,0.084
3,2,32,voice-mono,clause-5,0.538976,0.550744,0.295
3,2,32,voice-stereo,as-built,0.634567,0.634524,0.307
3,2,32,voice-stereo,clause-5,0.682479,0.682911,0.101
3,2,32,gain-chain,as-built,0.817739,0.818757,0.121
3,2,32,gain-chain,clause-5,0.820997,0.820448,0.140
3,3,64,voice-mono,as-built,0.522464,0.517502,0.226
3,3,64,voice-mono,clause-5,0.528017,0.528443,0.523
3,3,64,voice-stereo,as-built,0.628465,0.628681,0.100
3,3,64,voice-stereo,clause-5,0.575239,0.575398,0.249
3,3,64,gain-chain,as-built,0.571791,0.560450,0.489
3,3,64,gain-chain,clause-5,0.576592,0.576398,0.184
3,4,64b,voice-mono,as-built,0.513168,0.527846,0.164
3,4,64b,voice-mono,clause-5,0.524852,0.527752,0.539
3,4,64b,voice-stereo,as-built,0.585455,0.584194,0.099
3,4,64b,voice-stereo,clause-5,0.568844,0.585433,0.182
3,4,64b,gain-chain,as-built,0.577765,0.572790,0.490
3,4,64b,gain-chain,clause-5,0.584023,0.581896,0.162
4,0,256,voice-mono,as-built,0.483791,0.484024,0.128
4,0,256,voice-mono,clause-5,0.494928,0.496162,0.739
4,0,256,voice-stereo,as-built,0.538258,0.537906,0.317
4,0,256,voice-stereo,clause-5,0.531148,0.531950,0.154
4,0,256,gain-chain,as-built,0.417612,0.422048,1.190
4,0,256,gain-chain,clause-5,0.425394,0.424357,0.751
4,1,32,voice-mono,as-built,0.599168,0.599167,0.105
4,1,32,voice-mono,clause-5,0.556265,0.541132,0.224
4,1,32,voice-stereo,as-built,0.635026,0.634928,0.754
4,1,32,voice-stereo,clause-5,0.681887,0.681759,0.110
4,1,32,gain-chain,as-built,0.819531,0.819882,0.136
4,1,32,gain-chain,clause-5,0.821529,0.821615,0.174
4,2,64,voice-mono,as-built,0.511839,0.519917,0.108
4,2,64,voice-mono,clause-5,0.529137,0.526902,0.532
4,2,64,voice-stereo,as-built,0.587467,0.581986,0.092
4,2,64,voice-stereo,clause-5,0.568912,0.580958,0.096
4,2,64,gain-chain,as-built,0.569400,0.572546,0.605
4,2,64,gain-chain,clause-5,0.578822,0.578839,0.167
4,3,64b,voice-mono,as-built,0.512180,0.513461,0.116
4,3,64b,voice-mono,clause-5,0.525022,0.524929,0.495
4,3,64b,voice-stereo,as-built,0.580146,0.582989,0.110
4,3,64b,voice-stereo,clause-5,0.582031,0.572506,0.120
4,3,64b,gain-chain,as-built,0.573921,0.569514,0.625
4,3,64b,gain-chain,clause-5,0.578778,0.582163,0.143
4,4,128,voice-mono,as-built,0.493238,0.493223,0.126
4,4,128,voice-mono,clause-5,0.504951,0.503913,1.000
4,4,128,voice-stereo,as-built,0.552853,0.548820,0.263
4,4,128,voice-stereo,clause-5,0.604178,0.604117,0.122
4,4,128,gain-chain,as-built,0.468676,0.466587,0.507
4,4,128,gain-chain,clause-5,0.467573,0.470925,0.419
5,0,32,voice-mono,as-built,0.598301,0.598137,0.093
5,0,32,voice-mono,clause-5,0.556120,0.541683,0.399
5,0,32,voice-stereo,as-built,0.633038,0.632340,0.516
5,0,32,voice-stereo,clause-5,0.680467,0.680985,0.124
5,0,32,gain-chain,as-built,0.819020,0.818371,0.173
5,0,32,gain-chain,clause-5,0.821837,0.824950,0.165
5,1,64,voice-mono,as-built,0.521207,0.511300,0.231
5,1,64,voice-mono,clause-5,0.525075,0.526683,0.639
5,1,64,voice-stereo,as-built,0.587484,0.586816,0.114
5,1,64,voice-stereo,clause-5,0.570599,0.567990,0.171
5,1,64,gain-chain,as-built,0.572592,0.577577,0.443
5,1,64,gain-chain,clause-5,0.580102,0.580737,0.196
5,2,64b,voice-mono,as-built,0.518961,0.511157,0.256
5,2,64b,voice-mono,clause-5,0.523779,0.528589,0.510
5,2,64b,voice-stereo,as-built,0.584077,0.583123,0.097
5,2,64b,voice-stereo,clause-5,0.567693,0.572498,0.158
5,2,64b,gain-chain,as-built,0.570065,0.572143,0.403
5,2,64b,gain-chain,clause-5,0.577783,0.575203,0.217
5,3,128,voice-mono,as-built,0.493698,0.495902,0.164
5,3,128,voice-mono,clause-5,0.511009,0.510415,0.835
5,3,128,voice-stereo,as-built,0.552360,0.554115,0.219
5,3,128,voice-stereo,clause-5,0.543368,0.544976,0.107
5,3,128,gain-chain,as-built,0.462924,0.457845,0.813
5,3,128,gain-chain,clause-5,0.465087,0.464992,0.415
5,4,256,voice-mono,as-built,0.540098,0.539829,0.050
5,4,256,voice-mono,clause-5,0.486504,0.487136,0.218
5,4,256,voice-stereo,as-built,0.533711,0.537700,0.681
5,4,256,voice-stereo,clause-5,0.541885,0.542791,0.144
5,4,256,gain-chain,as-built,0.433677,0.436026,0.993
5,4,256,gain-chain,clause-5,0.431421,0.435133,0.934
6,0,64,voice-mono,as-built,0.511439,0.512390,0.268
6,0,64,voice-mono,clause-5,0.527872,0.528957,0.335
6,0,64,voice-stereo,as-built,0.582573,0.581471,0.093
