sweep,position,arm,shape,variant,cost_ms_per_s,control_ms_per_s,in_process_spread_percent
0,0,32,voice-mono,as-built,0.538543,0.540336,0.384
0,0,32,voice-mono,clause-5,0.539569,0.544167,1.541
0,0,32,voice-stereo,as-built,0.609382,0.609774,0.132
0,0,32,voice-stereo,clause-5,0.612820,0.611666,0.094
0,0,32,gain-chain,as-built,0.759130,0.751082,1.647
0,0,32,gain-chain,clause-5,0.760095,0.752946,1.189
0,1,64,voice-mono,as-built,0.512210,0.511753,0.089
0,1,64,voice-mono,clause-5,0.512764,0.513019,0.188
0,1,64,voice-stereo,as-built,0.563685,0.562902,0.194
0,1,64,voice-stereo,clause-5,0.567719,0.567242,0.110
0,1,64,gain-chain,as-built,0.526407,0.520195,0.127
0,1,64,gain-chain,clause-5,0.538547,0.536334,0.649
0,2,64b,voice-mono,as-built,0.514103,0.513816,0.133
0,2,64b,voice-mono,clause-5,0.512805,0.512877,0.014
0,2,64b,voice-stereo,as-built,0.563597,0.563778,0.080
0,2,64b,voice-stereo,clause-5,0.567830,0.566603,0.053
0,2,64b,gain-chain,as-built,0.527903,0.520843,1.355
0,2,64b,gain-chain,clause-5,0.541543,0.537514,0.750
0,3,128,voice-mono,as-built,0.497133,0.497249,0.173
0,3,128,voice-mono,clause-5,0.498075,0.499007,0.173
0,3,128,voice-stereo,as-built,0.541366,0.541625,0.048
0,3,128,voice-stereo,clause-5,0.545750,0.546091,0.179
0,3,128,gain-chain,as-built,0.428988,0.429222,0.741
0,3,128,gain-chain,clause-5,0.443794,0.439672,0.785
0,4,256,voice-mono,as-built,0.483497,0.483664,0.214
0,4,256,voice-mono,clause-5,0.485675,0.485783,0.153
0,4,256,voice-stereo,as-built,0.526228,0.525372,0.105
0,4,256,voice-stereo,clause-5,0.530879,0.530966,0.050
0,4,256,gain-chain,as-built,0.389248,0.390529,3.182
0,4,256,gain-chain,clause-5,0.402270,0.406417,1.750
1,0,64,voice-mono,as-built,0.510886,0.511767,0.180
1,0,64,voice-mono,clause-5,0.512219,0.511939,0.072
1,0,64,voice-stereo,as-built,0.562820,0.562632,0.212
1,0,64,voice-stereo,clause-5,0.567038,0.567293,0.087
1,0,64,gain-chain,as-built,0.534026,0.518949,0.413
1,0,64,gain-chain,clause-5,0.537507,0.540758,1.330
1,1,64b,voice-mono,as-built,0.511756,0.511738,0.016
1,1,64b,voice-mono,clause-5,0.512973,0.512639,0.065
1,1,64b,voice-stereo,as-built,0.563321,0.562753,0.088
1,1,64b,voice-stereo,clause-5,0.568033,0.567892,0.226
1,1,64b,gain-chain,as-built,0.537408,0.516684,1.786
1,1,64b,gain-chain,clause-5,0.537330,0.536990,0.473
1,2,128,voice-mono,as-built,0.493409,0.493222,0.192
1,2,128,voice-mono,clause-5,0.497226,0.496281,0.603
1,2,128,voice-stereo,as-built,0.565342,0.563342,0.319
1,2,128,voice-stereo,clause-5,0.553111,0.566773,1.730
1,2,128,gain-chain,as-built,0.437670,0.446865,3.881
1,2,128,gain-chain,clause-5,0.448196,0.440837,1.685
1,3,256,voice-mono,as-built,0.483971,0.484240,0.092
1,3,256,voice-mono,clause-5,0.485681,0.485028,0.088
1,3,256,voice-stereo,as-built,0.525662,0.526005,0.079
1,3,256,voice-stereo,clause-5,0.530502,0.530436,0.228
1,3,256,gain-chain,as-built,0.401375,0.391206,2.327
1,3,256,gain-chain,clause-5,0.398904,0.396390,0.634
1,4,32,voice-mono,as-built,0.539153,0.538445,0.241
1,4,32,voice-mono,clause-5,0.539908,0.539780,0.056
1,4,32,voice-stereo,as-built,0.610408,0.610381,0.259
1,4,32,voice-stereo,clause-5,0.612151,0.614283,0.200
1,4,32,gain-chain,as-built,0.754021,0.736066,0.310
1,4,32,gain-chain,clause-5,0.759423,0.757362,0.224
2,0,64b,voice-mono,as-built,0.511352,0.511539,0.204
2,0,64b,voice-mono,clause-5,0.514027,0.514070,0.033
2,0,64b,voice-stereo,as-built,0.563972,0.563579,0.114
2,0,64b,voice-stereo,clause-5,0.568053,0.568715,0.031
2,0,64b,gain-chain,as-built,0.539044,0.521696,0.253
2,0,64b,gain-chain,clause-5,0.540711,0.538962,0.347
2,1,128,voice-mono,as-built,0.494120,0.493398,0.146
2,1,128,voice-mono,clause-5,0.495415,0.495453,0.100
2,1,128,voice-stereo,as-built,0.537989,0.538896,0.169
2,1,128,voice-stereo,clause-5,0.542725,0.542484,0.081
2,1,128,gain-chain,as-built,0.440331,0.423987,1.102
2,1,128,gain-chain,clause-5,0.435587,0.437092,0.840
2,2,256,voice-mono,as-built,0.483532,0.483259,0.108
2,2,256,voice-mono,clause-5,0.486001,0.485779,0.061
2,2,256,voice-stereo,as-built,0.524681,0.525696,0.064
2,2,256,voice-stereo,clause-5,0.530959,0.531135,0.065
2,2,256,gain-chain,as-built,0.389197,0.390102,0.339
2,2,256,gain-chain,clause-5,0.400069,0.403758,2.026
2,3,32,voice-mono,as-built,0.537639,0.537791,0.016
2,3,32,voice-mono,clause-5,0.538646,0.539105,0.095
2,3,32,voice-stereo,as-built,0.609670,0.608729,0.155
2,3,32,voice-stereo,clause-5,0.613510,0.612949,0.175
2,3,32,gain-chain,as-built,0.764471,0.754343,0.412
2,3,32,gain-chain,clause-5,0.760317,0.761959,0.590
2,4,64,voice-mono,as-built,0.510930,0.510943,0.251
2,4,64,voice-mono,clause-5,0.512112,0.512195,0.097
2,4,64,voice-stereo,as-built,0.562877,0.562462,0.074
2,4,64,voice-stereo,clause-5,0.568094,0.567568,0.111
2,4,64,gain-chain,as-built,0.535409,0.520400,0.756
2,4,64,gain-chain,clause-5,0.538437,0.536068,0.506
3,0,128,voice-mono,as-built,0.493351,0.492589,0.196
3,0,128,voice-mono,clause-5,0.493678,0.494495,0.077
3,0,128,voice-stereo,as-built,0.537684,0.537839,0.213
3,0,128,voice-stereo,clause-5,0.541968,0.541958,0.077
3,0,128,gain-chain,as-built,0.435334,0.423424,0.819
3,0,128,gain-chain,clause-5,0.440818,0.439885,0.037
3,1,256,voice-mono,as-built,0.483566,0.483487,0.147
3,1,256,voice-mono,clause-5,0.485723,0.486102,0.061
3,1,256,voice-stereo,as-built,0.525951,0.525749,0.013
3,1,256,voice-stereo,clause-5,0.530166,0.530291,0.111
3,1,256,gain-chain,as-built,0.398049,0.390639,1.131
3,1,256,gain-chain,clause-5,0.404618,0.404038,1.742
3,2,32,voice-mono,as-built,0.538539,0.538383,0.151
3,2,32,voice-mono,clause-5,0.539753,0.540219,0.073
3,2,32,voice-stereo,as-built,0.609648,0.608889,0.208
3,2,32,voice-stereo,clause-5,0.613303,0.613138,0.027
3,2,32,gain-chain,as-built,0.761134,0.745256,0.174
3,2,32,gain-chain,clause-5,0.768159,0.765910,0.294
3,3,64,voice-mono,as-built,0.510448,0.510450,0.147
3,3,64,voice-mono,clause-5,0.512334,0.512413,0.026
3,3,64,voice-stereo,as-built,0.562580,0.562630,0.077
3,3,64,voice-stereo,clause-5,0.567099,0.566444,0.058
3,3,64,gain-chain,as-built,0.536831,0.526315,0.733
3,3,64,gain-chain,clause-5,0.537438,0.538678,0.150
3,4,64b,voice-mono,as-built,0.511428,0.511656,0.069
3,4,64b,voice-mono,clause-5,0.512600,0.512989,0.035
3,4,64b,voice-stereo,as-built,0.562517,0.562471,0.008
3,4,64b,voice-stereo,clause-5,0.566905,0.567155,0.065
3,4,64b,gain-chain,as-built,0.536803,0.525595,0.314
3,4,64b,gain-chain,clause-5,0.537833,0.543075,0.424
4,0,256,voice-mono,as-built,0.483157,0.484187,0.271
4,0,256,voice-mono,clause-5,0.485533,0.485106,0.088
4,0,256,voice-stereo,as-built,0.525368,0.524973,0.228
4,0,256,voice-stereo,clause-5,0.530134,0.529618,0.202
4,0,256,gain-chain,as-built,0.407096,0.391891,0.382
4,0,256,gain-chain,clause-5,0.409411,0.407943,0.360
4,1,32,voice-mono,as-built,0.539271,0.539010,0.062
4,1,32,voice-mono,clause-5,0.540787,0.540004,0.145
4,1,32,voice-stereo,as-built,0.611399,0.611084,0.051
4,1,32,voice-stereo,clause-5,0.613625,0.613271,0.080
4,1,32,gain-chain,as-built,0.752636,0.751129,0.201
4,1,32,gain-chain,clause-5,0.762572,0.761761,0.670
4,2,64,voice-mono,as-built,0.511924,0.512055,0.238
4,2,64,voice-mono,clause-5,0.512695,0.512651,0.010
4,2,64,voice-stereo,as-built,0.563337,0.562271,0.144
4,2,64,voice-stereo,clause-5,0.568077,0.567914,0.050
4,2,64,gain-chain,as-built,0.542568,0.534706,2.224
4,2,64,gain-chain,clause-5,0.544550,0.547790,0.188
4,3,64b,voice-mono,as-built,0.512777,0.513342,0.100
4,3,64b,voice-mono,clause-5,0.512842,0.513096,0.067
4,3,64b,voice-stereo,as-built,0.562947,0.562807,0.056
4,3,64b,voice-stereo,clause-5,0.567090,0.567627,0.154
4,3,64b,gain-chain,as-built,0.541760,0.527606,2.479
4,3,64b,gain-chain,clause-5,0.542879,0.543783,1.005
4,4,128,voice-mono,as-built,0.492610,0.492751,0.087
4,4,128,voice-mono,clause-5,0.493267,0.495006,0.110
4,4,128,voice-stereo,as-built,0.538534,0.538168,0.150
4,4,128,voice-stereo,clause-5,0.541894,0.541858,0.080
4,4,128,gain-chain,as-built,0.438736,0.427120,0.234
4,4,128,gain-chain,clause-5,0.441676,0.440114,0.355
5,0,32,voice-mono,as-built,0.538937,0.538213,0.143
5,0,32,voice-mono,clause-5,0.542100,0.541500,0.087
5,0,32,voice-stereo,as-built,0.611003,0.612504,0.395
5,0,32,voice-stereo,clause-5,0.613288,0.613578,0.099
5,0,32,gain-chain,as-built,0.766232,0.760457,0.587
5,0,32,gain-chain,clause-5,0.773278,0.770631,1.983
5,1,64,voice-mono,as-built,0.510585,0.511167,0.137
5,1,64,voice-mono,clause-5,0.511932,0.512641,0.032
5,1,64,voice-stereo,as-built,0.562443,0.562139,0.177
5,1,64,voice-stereo,clause-5,0.566951,0.566945,0.188
5,1,64,gain-chain,as-built,0.542047,0.528400,0.377
5,1,64,gain-chain,clause-5,0.544738,0.548830,1.051
5,2,64b,voice-mono,as-built,0.511048,0.510699,0.140
5,2,64b,voice-mono,clause-5,0.511788,0.512227,0.117
5,2,64b,voice-stereo,as-built,0.562868,0.563143,0.064
5,2,64b,voice-stereo,clause-5,0.567130,0.566990,0.228
5,2,64b,gain-chain,as-built,0.552263,0.542309,1.925
5,2,64b,gain-chain,clause-5,0.545842,0.546847,0.184
5,3,128,voice-mono,as-built,0.493099,0.493703,0.178
5,3,128,voice-mono,clause-5,0.494397,0.494775,0.108
5,3,128,voice-stereo,as-built,0.537639,0.538555,0.353
5,3,128,voice-stereo,clause-5,0.541351,0.543703,0.380
5,3,128,gain-chain,as-built,0.441016,0.431134,1.775
5,3,128,gain-chain,clause-5,0.440655,0.444126,1.129
5,4,256,voice-mono,as-built,0.483318,0.483589,0.056
5,4,256,voice-mono,clause-5,0.485932,0.485644,0.059
5,4,256,voice-stereo,as-built,0.525748,0.525304,0.447
5,4,256,voice-stereo,clause-5,0.530654,0.530580,0.057
5,4,256,gain-chain,as-built,0.404442,0.406272,0.819
5,4,256,gain-chain,clause-5,0.413873,0.410292,0.872
6,0,64,voice-mono,as-built,0.511550,0.512996,0.082
6,0,64,voice-mono,clause-5,0.512773,0.512646,0.132
6,0,64,voice-stereo,as-built,0.562941,0.563737,0.109
6,0,64,voice-stereo,clause-5,0.567501,0.567008,0.087
6,0,64,gain-chain,as-built,0.552127,0.540296,1.393
6,0,64,gain-chain,clause-5,0.550800,0.548541,0.361
6,1,64b,voice-mono,as-built,0.510576,0.511382,0.167
6,1,64b,voice-mono,clause-5,0.512137,0.511639,0.097
6,1,64b,voice-stereo,as-built,0.563669,0.563721,0.009
6,1,64b,voice-stereo,clause-5,0.568253,0.567546,0.042
6,1,64b,gain-chain,as-built,0.548505,0.537776,0.916
6,1,64b,gain-chain,clause-5,0.548101,0.544337,0.669
6,2,128,voice-mono,as-built,0.493112,0.493714,0.053
6,2,128,voice-mono,clause-5,0.494671,0.494764,0.094
6,2,128,voice-stereo,as-built,0.538896,0.540195,0.386
6,2,128,voice-stereo,clause-5,0.541868,0.542743,0.185
6,2,128,gain-chain,as-built,0.445335,0.444779,0.607
6,2,128,gain-chain,clause-5,0.444648,0.451050,1.227
6,3,256,voice-mono,as-built,0.483111,0.483439,0.130
6,3,256,voice-mono,clause-5,0.485762,0.485153,0.193
6,3,256,voice-stereo,as-built,0.525100,0.525384,0.102
6,3,256,voice-stereo,clause-5,0.529890,0.530263,0.106
6,3,256,gain-chain,as-built,0.405799,0.390508,1.808
6,3,256,gain-chain,clause-5,0.406954,0.412863,0.739
6,4,32,voice-mono,as-built,0.557199,0.540998,0.290
6,4,32,voice-mono,clause-5,0.600572,0.601130,0.114
6,4,32,voice-stereo,as-built,0.678331,0.678481,0.022
6,4,32,voice-stereo,clause-5,0.681163,0.680950,0.031
6,4,32,gain-chain,as-built,0.817265,0.817947,0.263
6,4,32,gain-chain,clause-5,0.819876,0.821424,0.037
7,0,64b,voice-mono,as-built,0.571217,0.571773,0.156
7,0,64b,voice-mono,clause-5,0.573082,0.572849,0.025
7,0,64b,voice-stereo,as-built,0.628850,0.628385,0.056
7,0,64b,voice-stereo,clause-5,0.633422,0.633528,0.086
7,0,64b,gain-chain,as-built,0.583406,0.583887,0.277
7,0,64b,gain-chain,clause-5,0.550255,0.526157,1.234
7,1,128,voice-mono,as-built,0.494271,0.491685,0.332
7,1,128,voice-mono,clause-5,0.495137,0.494610,0.323
7,1,128,voice-stereo,as-built,0.537362,0.537155,0.194
7,1,128,voice-stereo,clause-5,0.541317,0.541759,0.133
7,1,128,gain-chain,as-built,0.440247,0.432803,1.720
7,1,128,gain-chain,clause-5,0.446074,0.447335,1.413
7,2,256,voice-mono,as-built,0.483160,0.483537,0.269
7,2,256,voice-mono,clause-5,0.485536,0.486705,0.284
7,2,256,voice-stereo,as-built,0.525448,0.525441,0.061
7,2,256,voice-stereo,clause-5,0.530399,0.530193,0.116
7,2,256,gain-chain,as-built,0.405206,0.399133,0.825
7,2,256,gain-chain,clause-5,0.404575,0.413053,0.549
7,3,32,voice-mono,as-built,0.538456,0.539306,0.086
7,3,32,voice-mono,clause-5,0.539816,0.539584,0.399
7,3,32,voice-stereo,as-built,0.611859,0.609526,0.383
7,3,32,voice-stereo,clause-5,0.683820,0.684546,0.003
7,3,32,gain-chain,as-built,0.827064,0.828489,0.108
7,3,32,gain-chain,clause-5,0.829659,0.830278,0.126
7,4,64,voice-mono,as-built,0.570164,0.571401,0.297
7,4,64,voice-mono,clause-5,0.571162,0.570857,0.091
7,4,64,voice-stereo,as-built,0.628477,0.628640,0.209
7,4,64,voice-stereo,clause-5,0.632545,0.633084,0.073
7,4,64,gain-chain,as-built,0.579208,0.577999,0.690
7,4,64,gain-chain,clause-5,0.580018,0.580008,0.107
8,0,128,voice-mono,as-built,0.549572,0.549683,0.121
8,0,128,voice-mono,clause-5,0.551373,0.552218,0.101
8,0,128,voice-stereo,as-built,0.537073,0.538329,0.418
8,0,128,voice-stereo,clause-5,0.541980,0.542122,0.045
8,0,128,gain-chain,as-built,0.446088,0.436156,0.678
8,0,128,gain-chain,clause-5,0.443483,0.447218,0.630
8,1,256,voice-mono,as-built,0.483568,0.484198,0.150
8,1,256,voice-mono,clause-5,0.485665,0.485761,0.342
8,1,256,voice-stereo,as-built,0.525220,0.524998,0.195
8,1,256,voice-stereo,clause-5,0.530819,0.530188,0.146
8,1,256,gain-chain,as-built,0.408169,0.397944,2.596
8,1,256,gain-chain,clause-5,0.415374,0.415981,0.753
8,2,32,voice-mono,as-built,0.538668,0.538492,0.038
8,2,32,voice-mono,clause-5,0.539529,0.538790,0.145
8,2,32,voice-stereo,as-built,0.609871,0.609713,0.225
8,2,32,voice-stereo,clause-5,0.611969,0.613009,0.170
8,2,32,gain-chain,as-built,0.782696,0.787992,0.677
8,2,32,gain-chain,clause-5,0.828348,0.829421,0.069
8,3,64,voice-mono,as-built,0.570531,0.570544,0.039
8,3,64,voice-mono,clause-5,0.572132,0.572499,0.052
8,3,64,voice-stereo,as-built,0.628416,0.627943,0.106
8,3,64,voice-stereo,clause-5,0.633050,0.633523,0.030
8,3,64,gain-chain,as-built,0.579533,0.578066,0.254
8,3,64,gain-chain,clause-5,0.579998,0.580204,0.056
8,4,64b,voice-mono,as-built,0.569844,0.570895,0.080
8,4,64b,voice-mono,clause-5,0.571936,0.572105,0.179
8,4,64b,voice-stereo,as-built,0.627865,0.628093,0.094
8,4,64b,voice-stereo,clause-5,0.633715,0.632947,0.071
8,4,64b,gain-chain,as-built,0.531053,0.538859,0.913
8,4,64b,gain-chain,clause-5,0.554101,0.556591,0.438
9,0,256,voice-mono,as-built,0.483422,0.483577,0.255
9,0,256,voice-mono,clause-5,0.486333,0.485572,0.141
9,0,256,voice-stereo,as-built,0.525874,0.525306,0.267
9,0,256,voice-stereo,clause-5,0.530126,0.530064,0.012
9,0,256,gain-chain,as-built,0.408138,0.399268,2.070
9,0,256,gain-chain,clause-5,0.421643,0.417752,1.463
9,1,32,voice-mono,as-built,1.075686,1.076081,0.054
9,1,32,voice-mono,clause-5,1.078657,1.078890,0.022
9,1,32,voice-stereo,as-built,1.139122,1.138978,0.075
9,1,32,voice-stereo,clause-5,1.141318,1.141271,0.013
9,1,32,gain-chain,as-built,1.306169,1.306171,0.024
9,1,32,gain-chain,clause-5,1.308165,1.308569,0.083
9,2,64,voice-mono,as-built,0.512086,0.511068,0.215
9,2,64,voice-mono,clause-5,0.513184,0.513373,0.132
9,2,64,voice-stereo,as-built,0.563436,0.563895,0.353
9,2,64,voice-stereo,clause-5,0.568805,0.569186,0.098
9,2,64,gain-chain,as-built,0.551616,0.551993,0.361
9,2,64,gain-chain,clause-5,0.554825,0.555127,0.312
9,3,64b,voice-mono,as-built,0.511168,0.511500,0.242
9,3,64b,voice-mono,clause-5,0.513608,0.514692,0.296
9,3,64b,voice-stereo,as-built,0.562773,0.565077,0.900
9,3,64b,voice-stereo,clause-5,0.568130,0.569064,0.315
9,3,64b,gain-chain,as-built,0.551039,0.553428,0.774
9,3,64b,gain-chain,clause-5,0.555484,0.554263,1.583
9,4,128,voice-mono,as-built,0.492484,0.493141,0.367
9,4,128,voice-mono,clause-5,0.494933,0.495171,0.125
9,4,128,voice-stereo,as-built,0.538763,0.538623,0.172
9,4,128,voice-stereo,clause-5,0.543437,0.543443,0.119
9,4,128,gain-chain,as-built,0.450076,0.450473,0.635
9,4,128,gain-chain,clause-5,0.451535,0.451562,0.455
10,0,32,voice-mono,as-built,0.537380,0.537405,0.429
10,0,32,voice-mono,clause-5,0.543434,0.541069,0.428
10,0,32,voice-stereo,as-built,0.603228,0.602255,0.872
10,0,32,voice-stereo,clause-5,0.674137,0.632768,0.885
10,0,32,gain-chain,as-built,0.826943,0.827176,0.028
10,0,32,gain-chain,clause-5,0.828333,0.830808,0.268
10,1,64,voice-mono,as-built,0.571146,0.571048,0.021
10,1,64,voice-mono,clause-5,0.571955,0.572378,0.069
10,1,64,voice-stereo,as-built,0.628412,0.628016,0.063
10,1,64,voice-stereo,clause-5,0.633274,0.632689,0.090
10,1,64,gain-chain,as-built,0.582549,0.583880,0.247
10,1,64,gain-chain,clause-5,0.584436,0.584170,0.740
10,2,64b,voice-mono,as-built,0.571098,0.571003,0.097
10,2,64b,voice-mono,clause-5,0.572500,0.572194,0.112
10,2,64b,voice-stereo,as-built,0.563802,0.562199,0.285
10,2,64b,voice-stereo,clause-5,0.569351,0.568761,0.155
10,2,64b,gain-chain,as-built,0.550735,0.541529,0.536
10,2,64b,gain-chain,clause-5,0.552833,0.556292,0.626
10,3,128,voice-mono,as-built,0.494484,0.493652,0.185
10,3,128,voice-mono,clause-5,0.495851,0.496667,0.504
10,3,128,voice-stereo,as-built,0.538795,0.538349,0.371
10,3,128,voice-stereo,clause-5,0.542633,0.542970,0.067
10,3,128,gain-chain,as-built,0.450551,0.449204,0.300
10,3,128,gain-chain,clause-5,0.457710,0.453719,0.880
10,4,256,voice-mono,as-built,0.485116,0.484194,0.263
10,4,256,voice-mono,clause-5,0.487161,0.486700,0.179
10,4,256,voice-stereo,as-built,0.527449,0.528115,0.162
10,4,256,voice-stereo,clause-5,0.531782,0.530391,0.220
10,4,256,gain-chain,as-built,0.419167,0.417278,0.910
10,4,256,gain-chain,clause-5,0.441538,0.418511,0.956
11,0,64,voice-mono,as-built,0.570855,0.570035,0.132
11,0,64,voice-mono,clause-5,0.571911,0.572017,0.132
11,0,64,voice-stereo,as-built,0.627934,0.627837,0.080
11,0,64,voice-stereo,clause-5,0.632521,0.633029,0.074
11,0,64,gain-chain,as-built,0.580145,0.579359,0.232
11,0,64,gain-chain,clause-5,0.580743,0.580431,0.277
11,1,64b,voice-mono,as-built,0.569943,0.570343,0.075
11,1,64b,voice-mono,clause-5,0.572562,0.571925,0.104
11,1,64b,voice-stereo,as-built,0.628475,0.628992,0.079
11,1,64b,voice-stereo,clause-5,0.633570,0.634402,0.148
11,1,64b,gain-chain,as-built,0.579765,0.578675,0.188
11,1,64b,gain-chain,clause-5,0.541360,0.569502,0.607
11,2,128,voice-mono,as-built,0.493768,0.493573,0.221
11,2,128,voice-mono,clause-5,0.494950,0.496681,0.140
11,2,128,voice-stereo,as-built,0.538675,0.539205,0.296
11,2,128,voice-stereo,clause-5,0.543827,0.543987,0.081
11,2,128,gain-chain,as-built,0.452279,0.450869,0.313
11,2,128,gain-chain,clause-5,0.453884,0.452728,1.646
11,3,256,voice-mono,as-built,0.484009,0.485357,0.110
11,3,256,voice-mono,clause-5,0.487531,0.487225,0.271
11,3,256,voice-stereo,as-built,0.527625,0.527651,0.109
11,3,256,voice-stereo,clause-5,0.532799,0.532658,0.037
11,3,256,gain-chain,as-built,0.419728,0.415770,0.952
11,3,256,gain-chain,clause-5,0.417914,0.420069,1.090
11,4,32,voice-mono,as-built,0.536447,0.538037,0.734
11,4,32,voice-mono,clause-5,0.539370,0.542125,1.595
11,4,32,voice-stereo,as-built,0.616725,0.618079,0.220
11,4,32,voice-stereo,clause-5,0.684096,0.683381,0.105
11,4,32,gain-chain,as-built,0.819115,0.819216,0.040
11,4,32,gain-chain,clause-5,0.821670,0.821096,0.113
12,0,64b,voice-mono,as-built,0.571516,0.572455,0.337
12,0,64b,voice-mono,clause-5,0.572670,0.572578,0.082
12,0,64b,voice-stereo,as-built,0.628110,0.628382,0.119
12,0,64b,voice-stereo,clause-5,0.631947,0.632664,0.080
12,0,64b,gain-chain,as-built,0.574322,0.574208,0.202
12,0,64b,gain-chain,clause-5,0.576597,0.576138,0.184
12,1,128,voice-mono,as-built,0.549750,0.550728,0.214
12,1,128,voice-mono,clause-5,0.552110,0.553179,0.134
12,1,128,voice-stereo,as-built,0.538093,0.538891,0.241
12,1,128,voice-stereo,clause-5,0.541328,0.542227,0.166
12,1,128,gain-chain,as-built,0.446940,0.449624,0.364
12,1,128,gain-chain,clause-5,0.450933,0.449736,0.460
12,2,256,voice-mono,as-built,0.484641,0.484733,0.121
12,2,256,voice-mono,clause-5,0.487964,0.487519,0.137
12,2,256,voice-stereo,as-built,0.529332,0.528647,0.081
12,2,256,voice-stereo,clause-5,0.533381,0.533254,0.063
12,2,256,gain-chain,as-built,0.410650,0.409766,0.272
12,2,256,gain-chain,clause-5,0.411155,0.417545,0.447
12,3,32,voice-mono,as-built,0.547842,0.541435,0.248
12,3,32,voice-mono,clause-5,0.544081,0.543265,0.804
12,3,32,voice-stereo,as-built,0.618491,0.621014,0.408
12,3,32,voice-stereo,clause-5,0.619464,0.617622,0.482
12,3,32,gain-chain,as-built,0.792271,0.774826,0.120
12,3,32,gain-chain,clause-5,0.821081,0.822104,0.266
12,4,64,voice-mono,as-built,0.569388,0.569740,0.122
12,4,64,voice-mono,clause-5,0.571352,0.571489,0.047
12,4,64,voice-stereo,as-built,0.627993,0.627443,0.156
12,4,64,voice-stereo,clause-5,0.632557,0.632685,0.063
12,4,64,gain-chain,as-built,0.577528,0.578834,0.226
12,4,64,gain-chain,clause-5,0.579196,0.579639,0.115
13,0,128,voice-mono,as-built,0.550908,0.550906,0.106
13,0,128,voice-mono,clause-5,0.552478,0.552982,0.091
13,0,128,voice-stereo,as-built,0.600498,0.601650,0.078
13,0,128,voice-stereo,clause-5,0.605192,0.605306,0.024
13,0,128,gain-chain,as-built,0.443302,0.450906,1.231
13,0,128,gain-chain,clause-5,0.451766,0.444716,0.854
13,1,256,voice-mono,as-built,0.486982,0.485453,0.635
13,1,256,voice-mono,clause-5,0.486751,0.486992,0.194
13,1,256,voice-stereo,as-built,0.527319,0.526287,0.125
13,1,256,voice-stereo,clause-5,0.531545,0.532511,1.369
13,1,256,gain-chain,as-built,0.418456,0.423305,0.618
13,1,256,gain-chain,clause-5,0.426008,0.422201,0.902
13,2,32,voice-mono,as-built,0.544332,0.539323,1.573
13,2,32,voice-mono,clause-5,0.549717,0.550186,0.323
13,2,32,voice-stereo,as-built,0.622893,0.621434,0.322
13,2,32,voice-stereo,clause-5,0.625119,0.627793,0.428
13,2,32,gain-chain,as-built,0.781604,0.780369,0.158
13,2,32,gain-chain,clause-5,0.787924,0.793134,0.627
13,3,64,voice-mono,as-built,0.570027,0.569756,0.048
13,3,64,voice-mono,clause-5,0.571658,0.571710,0.061
13,3,64,voice-stereo,as-built,0.628800,0.628804,0.134
13,3,64,voice-stereo,clause-5,0.633684,0.633299,0.073
13,3,64,gain-chain,as-built,0.583411,0.583542,0.184
13,3,64,gain-chain,clause-5,0.584193,0.586161,0.085
13,4,64b,voice-mono,as-built,0.570563,0.570500,0.078
13,4,64b,voice-mono,clause-5,0.572381,0.572164,0.038
13,4,64b,voice-stereo,as-built,0.628755,0.628666,0.102
13,4,64b,voice-stereo,clause-5,0.633430,0.633335,0.104
13,4,64b,gain-chain,as-built,0.573818,0.575732,0.280
13,4,64b,gain-chain,clause-5,0.575296,0.576228,0.463
14,0,256,voice-mono,as-built,0.485421,0.484792,0.188
14,0,256,voice-mono,clause-5,0.486801,0.487063,0.171
14,0,256,voice-stereo,as-built,0.527921,0.526585,0.795
14,0,256,voice-stereo,clause-5,0.532094,0.531059,0.345
14,0,256,gain-chain,as-built,0.415481,0.412649,0.686
14,0,256,gain-chain,clause-5,0.422545,0.422718,0.101
14,1,32,voice-mono,as-built,0.545969,0.539268,0.622
14,1,32,voice-mono,clause-5,0.547136,0.549992,0.534
14,1,32,voice-stereo,as-built,0.621212,0.624450,0.022
14,1,32,voice-stereo,clause-5,0.626571,0.626485,0.171
14,1,32,gain-chain,as-built,0.786401,0.777168,0.781
14,1,32,gain-chain,clause-5,0.780109,0.792584,0.948
14,2,64,voice-mono,as-built,0.511576,0.513379,0.857
14,2,64,voice-mono,clause-5,0.572343,0.549393,0.266
14,2,64,voice-stereo,as-built,0.628343,0.629112,0.122
14,2,64,voice-stereo,clause-5,0.632996,0.633223,0.106
14,2,64,gain-chain,as-built,0.573910,0.575613,0.519
14,2,64,gain-chain,clause-5,0.574886,0.574787,0.296
14,3,64b,voice-mono,as-built,0.570201,0.570613,0.229
14,3,64b,voice-mono,clause-5,0.571830,0.572398,0.096
14,3,64b,voice-stereo,as-built,0.628384,0.629085,0.137
14,3,64b,voice-stereo,clause-5,0.632800,0.633036,0.065
14,3,64b,gain-chain,as-built,0.578035,0.578012,0.332
14,3,64b,gain-chain,clause-5,0.580450,0.580582,0.121
14,4,128,voice-mono,as-built,0.550494,0.550519,0.075
14,4,128,voice-mono,clause-5,0.498085,0.496837,0.251
14,4,128,voice-stereo,as-built,0.539692,0.539103,0.109
14,4,128,voice-stereo,clause-5,0.541970,0.542331,1.464
14,4,128,gain-chain,as-built,0.452373,0.455065,1.681
